id_substancia,sinonimo
2,Molestias Amônia
4,ÁCIDO ACÉTICO
6,Peróxido de hidrogênio concentrado
4,ÁCIDO ACÉTICO
4,ÁCIDO ACÉTICO
14,Dodecilbenzenossulfonato de sódio industrial
13,ÁCIDO CÍTRICO
3,Ácido clorídrico grau alimentício
3,ÁCIDO CLORÍDRICO
1,Hipoclorito de sódio PA
13,Ácido cítrico grau alimentício
3,Ácido c.
12,Provident Ácido
12,ÁCIDO FOSFÓRICO
13,Ácido c.
2,Quas Amônia
10,CLORETO DE BENZALCÔNIO
15,fragrância
1,HIPOCLORITO DE SÓDIO
14,
11,HIPOCLORITO DE CÁLCIO
15,Reprehenderit Fragrância
2,amônia
2,Amônia industrial
10,Cloreto d.b.
10,Cloreto d.b.
10,Vel Cloreto
12,ÁCIDO FOSFÓRICO
10,Vel Cloreto
14,Dodecilbenzenossulfonato de sódio técnico
4,Odio Ácido
8,Esse Álcool
2,amônia
11,Hipoclorito d.c.
3,Harum Ácido
14,DODECILBENZENOSSULFONATO DE SÓDIO
2,amônia
4,ÁCIDO ACÉTICO
9,Lauril s.d.s.
7,etanol
4,Odio Ácido
4,ÁCIDO ACÉTICO
10,
2,Amônia concentrado
4,ÁCIDO ACÉTICO
9,Lauril s.d.s.
5,Hidróxido de sódio solução aquosa
9,LAURIL SULFATO DE SÓDIO
11,Hipoclorito d.c.
5,Hidróxido d.s.
923777,PERÓXIDO DE HIDROGÊNIO
5,Hidróxido d.s.
3,ÁCIDO CLORÍDRICO
9,Lauril sulfato de sódio técnico
6,Peróxido de hidrogênio industrial
6,PERÓXIDO DE HIDROGÊNIO
980981,Ácido clorídrico solução aquosa
2,amônia
7,Atque Etanol
7,etanol
9,LAURIL SULFATO DE SÓDIO
2,amônia
10,Nihil Cloreto
5,HIDRÓXIDO DE SÓDIO
10,CLORETO DE BENZALCÔNIO
5,Hidróxido de sódio solução aquosa
5,Hidróxido d.s.
1,Illo Hipoclorito
3,Ácido clorídrico técnico
4,Ácido a.
14,DODECILBENZENOSSULFONATO DE SÓDIO
8,ÁLCOOL ISOPROPÍLICO
4,Odio Ácido
12,Corporis Ácido
7,ETANOL
3,
3,Ácido clorídrico técnico
6,PERÓXIDO DE HIDROGÊNIO
14,DODECILBENZENOSSULFONATO DE SÓDIO
10,Nihil Cloreto
7,etanol
4,Ácido a.
2,AMÔNIA
4,Ácido a.
14,Dodecilbenzenossulfonato de sódio concentrado
5,Hidróxido de sódio concentrado
13,ÁCIDO CÍTRICO
13,Delectus Ácido
10,Officia Cloreto
15,fragrância
9,LAURIL SULFATO DE SÓDIO
2,Enim Amônia
5,Hidróxido d.s.
6,PERÓXIDO DE HIDROGÊNIO
8,ÁLCOOL ISOPROPÍLICO
14,Dodecilbenzenossulfonato d.s.
14,DODECILBENZENOSSULFONATO DE SÓDIO
9,Quod Lauril
9,LAURIL SULFATO DE SÓDIO
13,Ácido cítrico industrial
9,Lauril sulfato de sódio PA
13,Ácido c.
2,
3,ÁCIDO CLORÍDRICO
8,Quidem Álcool
10,Cloreto de benzalcônio industrial
5,Aut Hidróxido
6,PERÓXIDO DE HIDROGÊNIO
11,Hipoclorito d.c.
2,Provident Amônia
12,Ácido fosfórico industrial
11,Hipoclorito de cálcio industrial
11,Deserunt Hipoclorito
12,ÁCIDO FOSFÓRICO
7,etanol
10,Cloreto de benzalcônio industrial
3,ÁCIDO CLORÍDRICO
966648,Commodi Amônia
6,Peróxido d.h.
4,Ácido a.
8,
3,Ácido clorídrico PA
13,ÁCIDO CÍTRICO
9,LAURIL SULFATO DE SÓDIO
15,Fragrância grau alimentício
3,Ácido clorídrico solução aquosa
10,Cloreto de benzalcônio diluído
7,etanol
4,Vero Ácido
13,Debitis Ácido
4,Ácido a.
13,
14,Dodecilbenzenossulfonato de sódio industrial
10,Provident Cloreto
5,Praesentium Hidróxido
7,Etanol solução aquosa
10,Cloreto de benzalcônio solução aquosa
11,Cumque Hipoclorito
13,Ácido c.
9,LAURIL SULFATO DE SÓDIO
13,Ácido cítrico industrial
9,Lauril sulfato de sódio solução aquosa
15,Fragrância solução aquosa
6,PERÓXIDO DE HIDROGÊNIO
7,etanol
2,amônia
6,PERÓXIDO DE HIDROGÊNIO
5,Hidróxido d.s.
3,ÁCIDO CLORÍDRICO
14,Cum Dodecilbenzenossulfonato
3,Ducimus Ácido
1,HIPOCLORITO DE SÓDIO
4,Ácido acético grau alimentício
10,
2,amônia
2,AMÔNIA
11,Nihil Hipoclorito
14,Deserunt Dodecilbenzenossulfonato
1,Hipoclorito de sódio diluído
7,ETANOL
4,Esse Ácido
11,HIPOCLORITO DE CÁLCIO
6,PERÓXIDO DE HIDROGÊNIO
9,
9,LAURIL SULFATO DE SÓDIO
8,ÁLCOOL ISOPROPÍLICO
6,Peróxido d.h.
6,PERÓXIDO DE HIDROGÊNIO
12,ÁCIDO FOSFÓRICO
12,Ácido f.
6,Peróxido d.h.
13,Ácido cítrico industrial
8,
13,Ácido cítrico PA
8,ÁLCOOL ISOPROPÍLICO
1,Hipoclorito de sódio PA
5,Eum Hidróxido
9,
1,Hipoclorito de sódio industrial
13,ÁCIDO CÍTRICO
4,Ácido a.
6,Dolore Peróxido
950678,Eius Ácido
3,Exercitationem Ácido
6,Peróxido d.h.
4,Vero Ácido
10,Cloreto de benzalcônio grau alimentício
2,AMÔNIA
5,Hidróxido d.s.
12,Dolorum Ácido
8,Álcool i.
12,Ácido f.
7,etanol
13,ÁCIDO CÍTRICO
11,Cupiditate Hipoclorito
13,Ácido cítrico PA
10,Esse Cloreto
2,Amônia solução aquosa
6,Magnam Peróxido
1,
